measurementpoint.flowvalue,measurementpoint.speedvalue,measurementpoint.ninputs,measurementpoint.sdeviation,measurementpoint.measurementdatetime,measurementpoint.reference
540.0,73.0,0.0,,2019-11-17 00:01:00,RWS01_MONIBAS_0021hrr0597ra
420.0,89.5,0.0,,2019-11-17 00:06:00,RWS01_MONIBAS_0021hrr0597ra
660.0,82.0,0.0,,2019-11-17 00:12:00,RWS01_MONIBAS_0021hrr0597ra
660.0,74.0,0.0,,2019-11-17 00:18:00,RWS01_MONIBAS_0021hrr0597ra
720.0,80.0,0.0,,2019-11-17 00:24:00,RWS01_MONIBAS_0021hrr0597ra
720.0,92.5,0.0,,2019-11-17 00:30:00,RWS01_MONIBAS_0021hrr0597ra
300.0,90.0,0.0,,2019-11-17 00:35:00,RWS01_MONIBAS_0021hrr0597ra
480.0,74.0,0.0,,2019-11-17 00:41:00,RWS01_MONIBAS_0021hrr0597ra
540.0,85.0,0.0,,2019-11-17 00:47:00,RWS01_MONIBAS_0021hrr0597ra
480.0,82.0,0.0,,2019-11-17 00:53:00,RWS01_MONIBAS_0021hrr0597ra
480.0,90.0,0.0,,2019-11-17 00:59:00,RWS01_MONIBAS_0021hrr0597ra
240.0,74.0,0.0,,2019-11-17 01:04:00,RWS01_MONIBAS_0021hrr0597ra
360.0,82.5,0.0,,2019-11-17 01:10:00,RWS01_MONIBAS_0021hrr0597ra
240.0,75.0,0.0,,2019-11-17 01:16:00,RWS01_MONIBAS_0021hrr0597ra
360.0,108.0,0.0,,2019-11-17 01:22:00,RWS01_MONIBAS_0021hrr0597ra
480.0,96.5,0.0,,2019-11-17 01:28:00,RWS01_MONIBAS_0021hrr0597ra
60.0,98.0,0.0,,2019-11-17 01:33:00,RWS01_MONIBAS_0021hrr0597ra
240.0,75.0,0.0,,2019-11-17 01:39:00,RWS01_MONIBAS_0021hrr0597ra
60.0,76.0,0.0,,2019-11-17 01:45:00,RWS01_MONIBAS_0021hrr0597ra
240.0,71.0,0.0,,2019-11-17 01:51:00,RWS01_MONIBAS_0021hrr0597ra
120.0,75.0,0.0,,2019-11-17 01:57:00,RWS01_MONIBAS_0021hrr0597ra
